FOLIO CENEVAL,ESTATUS,Abv.1,Ciclo,POSICION,indice_Ceneval,indice_Pensamiento_Matemático
624077488,Admitido,IQI,2026,69,983,1040
624077490,No admitido,REH,2026,301,952,920
624077517,Admitido,CPU,2026,442,1035,880
624077529,No admitido,MCI,2026,3804,941,840
624077538,Admitido,CPU,2026,49,1178,1240
624077540,Admitido,LLA,2026,14,1109,1080
624077564,No admitido,MCI,2026,276,1244,1260
624077604,Admitido,MCI,2026,244,1244,1300
624077615,Admitido,IIL,2026,122,952,900
624077627,No admitido,MCI,2026,2188,1104,1080
624077636,No admitido,REH,2026,96,1104,1200
624077658,No admitido,ODO,2026,240,1130,1180
624077662,No admitido,REH,2026,177,1043,1060
624077670,No admitido,CPT,2026,63,948,860
624077708,Admitido,ODO,2026,65,1200,1180
624077712,Admitido,NUT,2026,18,1174,1240
624077720,Admitido,QAP,2026,12,1087,1200
624077731,No admitido,IME,2026,216,1013,1120
624077749,Admitido,IME,2026,53,1157,1240
624077754,No admitido,CPU,2026,663,930,960
624077765,Admitido,MKT,2026,81,1161,1240
624077777,Admitido,IER,2026,21,1022,1160
624077783,No admitido,ISW,2026,194,1083,1160
624077806,Admitido,MCI,2026,131,1255,1280
624077810,Admitido,MKT,2026,92,1157,1220
624077823,Admitido,PSI,2026,303,1078,1040
624077847,Admitido,CPU,2026,300,1078,1080
624077852,Admitido,IQI,2026,49,1043,1120
624077881,Admitido,AVI,2026,27,1078,1120
624077899,No admitido,CPU,2026,552,991,1140
624077909,No admitido,MCI,2026,687,1211,1280
624077913,No admitido,ODO,2026,543,1043,1140
624077921,No admitido,MVZ,2026,445,1052,980
624077932,No admitido,ISW,2026,232,1057,1140
624077945,No admitido,ARQ,2026,539,1013,1120
624077950,No admitido,MCI,2026,1270,1170,1220
624077966,Admitido,CPU,2026,433,1035,1060
624077978,Admitido,MVZ,2026,58,1170,1280
624077984,No admitido,MVZ,2026,859,952,920
624078014,Admitido,ACT,2026,45,1174,1120
