abv,programa_oficial,campus
ACT,ACTUARÍA,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
ADM,ADMINISTRACIÓN,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
AGE,AGROECOLOGÍA,CAMPUS DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS
AIA,ARQUEOLOGÍA,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
ARQ,ARQUITECTURA,"CAMPUS DE ARQUITECTURA, HÁBITAT, ARTE Y DISEÑO"
ATI,ADMINISTRACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
ATS,ANTROPOLOGÍA SOCIAL,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
AVI,ARTES VISUALES,"CAMPUS DE ARQUITECTURA, HÁBITAT, ARTE Y DISEÑO"
BIM,BIOLOGÍA MARINA,CAMPUS DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS
BIO,BIOLOGÍA,CAMPUS DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS
COI,COMERCIO INTERNACIONAL,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
COM,CIENCIAS DE LA COMPUTACIÓN,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
CPT,CONTADOR PÚBLICO (TIZIMÍN),UNIDAD MULTIDISCIPLINARIA TIZIMÍN
CPU,CONTADOR PÚBLICO (MÉRIDA),"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
CSL,COMUNICACIÓN SOCIAL,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
DER,DERECHO,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
DHT,DISEÑO DEL HABITAT,"CAMPUS DE ARQUITECTURA, HÁBITAT, ARTE Y DISEÑO"
ECO,ECONOMÍA,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
EDT,EDUCACIÓN (TIZIMÍN),UNIDAD MULTIDISCIPLINARIA TIZIMÍN
EDU,EDUCACIÓN (MÉRIDA),"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
EFT,ENFERMERÍA (TIZIMÍN),UNIDAD MULTIDISCIPLINARIA TIZIMÍN
EIS,ENSEÑANZA DEL IDIOMA INGLÉS,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
EMA,ENSEÑANZA DE LAS MATEMÁTICAS,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
ENF,ENFERMERÍA (MÉRIDA),CAMPUS DE CIENCIAS DE LA SALUD
HIS,HISTORIA,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
IAL,INGENIERÍA EN ALIMENTOS,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IBI,INGENIERÍA EN BIOTECNOLOGÍA,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
ICL,INGENIERÍA CIVIL,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
ICO,INGENIERÍA EN COMPUTACIÓN,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IER,INGENIERÍA EN ENERGÍAS RENOVABLES,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IFI,INGENIERÍA FÍSICA,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IIL,INGENIERÍA INDUSTRIAL LOGÍSTICA,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IME,INGENIERÍA EN MECATRÓNICA,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IQI,INGENIERÍA QUÍMICA INDUSTRIAL,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
IST,INGENIERÍA DE SOFTWARE (TIZIMÍN),UNIDAD MULTIDISCIPLINARIA TIZIMÍN
ISW,INGENIERÍA DE SOFTWARE (MÉRIDA),CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
LLA,LITERATURA LATINOAMERICANA,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
MAT,MATEMÁTICAS,CAMPUS DE CIENCIAS EXACTAS E INGENIERÍAS
MCI,MÉDICO CIRUJANO,CAMPUS DE CIENCIAS DE LA SALUD
MKT,MERCADOTECNIA Y NEGOCIOS INTERNACIONALES,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
MVZ,MÉDICO VETERINARIO ZOOTECNISTA,CAMPUS DE CIENCIAS BIOLÓGICAS Y AGROPECUARIAS
NUT,NUTRICIÓN,CAMPUS DE CIENCIAS DE LA SALUD
ODO,CIRUJANO DENTISTA,CAMPUS DE CIENCIAS DE LA SALUD
PSI,PSICOLOGÍA,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
QAP,QUÍMICA APLICADA,CAMPUS DE CIENCIAS DE LA SALUD
QFB,QUÍMICO FARMACÉUTICO BIÓLOGO,CAMPUS DE CIENCIAS DE LA SALUD
REH,REHABILITACIÓN,CAMPUS DE CIENCIAS DE LA SALUD
TRA,TRABAJO SOCIAL,CAMPUS DE CIENCIAS DE LA SALUD
TUR,TURISMO,"CAMPUS DE CIENCIAS SOCIALES, ECONÓMICO ADMINISTRATIVAS Y HUMANIDADES"
